T1es_ES,T1,es_ES,Cuáles cree usted que son las horas más productivas de su jornada laboral?
T2es_ES,T2,es_ES,Por qué?
T3es_ES,T3,es_ES,"Qué tiempo aproximado dedica diariamente a organizar documentos, expedientes y su agenda?"
T4es_ES,T4,es_ES,Gestiona usted mismo su agenda o hay alguien que lo hace por usted?
T5es_ES,T5,es_ES,Utiliza o ha utilizado alguna herramienta informática que le ayude a gestionar su tiempo?
T6es_ES,T6,es_ES,Qué aspecto de su trabajo considera que puede mejorar?
T7es_ES,T7,es_ES,"De qué forma suele facturar su trabajo (por tiempo, por tramos, por asuntos, etc)"
T8es_ES,T8,es_ES,Tiene usted control efectivo del tiempo/dinero que invierte en cada cliente?
T9es_ES,T9,es_ES,Cuántos abogados trabajan en su mismo despacho?
T10es_ES,T10,es_ES,Si
T11es_ES,T11,es_ES,No
T12es_ES,T12,es_ES,La Mañana
T13es_ES,T13,es_ES,La Tarde
T14es_ES,T14,es_ES,Menos de una hora
T15es_ES,T15,es_ES,Menos de tres horas
T16es_ES,T16,es_ES,Mas de tres horas
T17es_ES,T17,es_ES,Por horas
T18es_ES,T18,es_ES,Por asuntos
T19es_ES,T19,es_ES,Por retainer